fix_status	priority	status	coverage	lane	area	swift	ts	portTodos	n_gaps	gaps	commit	notes
fixed	medium	major	55	2	label	Sources/EChartsKit/label/LabelManager.swift	upstream/echarts/src/label/LabelManager.ts	0	5	processLabelsOverall + _updateLabelLine not ported: per-frame generic label-line style/point update (setLabelLineStyle/updateLabelLinePoints) never runs ||| _animateLabels not ported: label position tween, fade-in initProps opacity animation, and value roll-up (animateLabelValue) are absent ||| updateLayoutConfig draggable branch deferred: label drag + createDragHandler(updateLabelLinePoints) not wired ||| updateLayoutConfig labelLinePoints override (guideLine.setShape) not applied ||| textEl.disableLabelLayout gate omitted in addLabelsOfSeries, so a label opting out of layout is still collected	6e73c7f	deferred=5
fixed	medium	major	70	1	chart	Sources/EChartsKit/chart/map/MapView.swift	upstream/echarts/src/chart/map/MapView.ts	0	5	MapDraw + RoamController not ported → map pan/zoom roam is a no-op (__updateOnOwnRoam, geoRoam self-roam short-circuit inert) ||| mapToggleSelect select action/state path deferred → region click-select does not function ||| region↔symbol hover link (onHoverStateChange→setStatesFlag on legend circle) deferred → symbols don't react to region hover ||| projectionStream (d3 clip/resample) omitted; only per-point dataToPoint projection used ||| emphasis/select/blur state styles use getItemStyle not getFixedItemStyle → state areaColor fixup missing	fb5186c	addressed=2 | deferred=3
fixed	medium	major	70	3	component	Sources/EChartsKit/component/geo/GeoView.swift	upstream/echarts/src/component/geo/GeoView.ts	0	5	render's roam re-draw (__updateOnOwnRoam → mapDraw.__updateOnOwnRoam) is a documented no-op; geo pan/zoom does not re-render ||| _handleRegionClick → api.dispatchAction('geoToggleSelect') not wired; clicking a region toggles no selection ||| updateSelectStatus (traverse + enterSelect/leaveSelect per isSelected) not ported; selected-region highlight never applied ||| geoJSON region path draws only NORMAL itemStyle: no emphasis/select/blur states, no highDown dispatcher, so geoJSON region hover-emphasis is absent (only geoSVG has states) ||| findHighDownDispatchers geoJSON branch (_regionsGroupByName) returns nil; hover-link/highlight-by-name unsupported for geoJSON maps	1580608	addressed=4 | deferred=1
fixed	medium	major	72	1	chart	Sources/EChartsKit/chart/helper/SymbolDraw.swift	upstream/echarts/src/chart/helper/SymbolDraw.ts	0	2	incrementalPrepareUpdate/incrementalUpdate/eachRendered and _progressiveEls omitted — progressive (large-mode) symbol rendering unavailable ||| normalizeUpdateOpt not ported: opt passed as a bare isIgnore function is not coerced to {isIgnore}	bcbf75f	deferred=2
fixed	medium	major	75	1	chart	Sources/EChartsKit/chart/effectScatter/EffectScatterView.swift	upstream/echarts/src/chart/effectScatter/EffectScatterView.ts	0	5	createSymbolDrawOpt clipShape (createCoordSysClipAreaSimply) omitted, so the clip:true default is a no-op and symbols outside the coord area are not clipped ||| updateTransform (roam re-layout via pointsLayout.reset + updateLayout) not ported, so roam pan/zoom does not reposition ripples without a full render ||| _updateGroupTransform (matrix.clone of coordSys.getRoamTransform) not ported, so group roam transform is never applied ||| geo/singleAxis/matrix coordinate systems hit the else-branch early return, rendering nothing for effectScatter on those systems ||| remove() override (this._symbolDraw.remove(true)) not ported	29d2f33	addressed=5 | deferred=1
fixed	medium	major	75	2	chart	Sources/EChartsKit/chart/parallel/ParallelView.swift	upstream/echarts/src/chart/parallel/ParallelView.ts	0	3	incrementalRender is a full no-op: progressive/large-data render path (default progressive:300) draws nothing for datasets over the threshold ||| createGridClipShape enter clip-reveal animation (setClipPath growing rect) not ported; lines appear via an opacity-fade substitute ||| data.diff add/update/remove pipeline replaced by a count-gated morph; mismatched-count updates rebuild-and-snap instead of animating, and saveOldStyle update-transition unused	cf49518	addressed=3
fixed	medium	major	75	2	component	Sources/EChartsKit/component/axis/SingleAxisView.swift	upstream/echarts/src/component/axis/SingleAxisView.ts	0	4	splitArea builder is a no-op: rectCoordAxisBuildSplitArea (axisSplitHelper) not ported, so single-axis splitArea bands never render ||| remove() no-op: rectCoordAxisHandleRemove not ported, cached splitArea colors not cleared ||| pathStyleFromDict does not map lineDash (deferred), so dashed splitLine styling is dropped ||| graphic.groupTransition deferred: no anid-matched transition animation on re-render	9b63f28	addressed=3 | deferred=1
fixed	medium	major	75	3	component	Sources/EChartsKit/component/marker/MarkerModel.swift	upstream/echarts/src/component/marker/MarkerModel.ts	1	4	fillLabel is a no-op: defaultEmphasis(opt,'label',['show']) is not applied, so per-item emphasis-label defaults are dropped ||| formatTooltip returns nil (getRawValue unavailable) — marker tooltips produce no markup ||| getDataParams omits the DataFormatMixin base computation (color/encode/dimensionNames/value formatting), only host-series patch applied ||| DataFormatMixin not conformed: getFormattedLabel/getRawValue from the mixin are unavailable on marker models	6dc083e	addressed=4
fixed	medium	major	78	1	chart	Sources/EChartsKit/chart/tree/TreeView.swift	upstream/echarts/src/chart/tree/TreeView.ts	0	5	Radial label block (render() lines 389-444: rad/isLeft/setTextConfig rotation) deferred - radial-tree labels are unrotated and on the wrong side ||| symbolInnerColor (isExpand===false && children ? visualColor : neutral00) deferred - collapsed nodes lack the hollow inner-fill marker ||| _updateNodeAndLinkScale / calcCompensationScaleToPreserveNodeSize deferred - node symbols scale with zoom instead of preserving size under roam ||| drawEdge does not call setDefaultStateProxy(edge) (upstream line 555) - edge default state-transition proxy missing ||| Enter/remove animation (removeElement, fadeOut, source-old-layout grow-out) deferred - nodes/edges appear and vanish without tween	375f467	addressed=3 | deferred=2
fixed	medium	major	78	1	util	Sources/EChartsKit/util/layout.swift	upstream/echarts/src/util/layout.ts	2	6	applyPreserveAspect not ported: preserveAspect 'cover'/'contain' for geo/graphic/image components is unavailable ||| fetchLayoutMode not ported: component layoutMode resolution for mergeLayoutParam callers is absent ||| getLayoutParams not ported: retrieve LOCATION_PARAMS from a source option object is missing ||| sizeCalculable not ported (option[width] || (left&&right) size check) ||| createBoxLayoutReference omits the enableLayoutOnlyByCenter+dataToPoint POINT-kind branch and the __DEV__ error branch ||| vbox/hbox curried forwarders absent (no current consumer)	f3dd132	addressed=6 | deferred=1
fixed	medium	major	80	2	chart	Sources/EChartsKit/chart/pie/PieView.swift	upstream/echarts/src/chart/pie/PieView.ts	0	5	select-state selectedOffset dx/dy translate omitted: selecting a slice does not offset (explode) the sector/label/labelLine ||| getSectorCornerRadius not wired: itemStyle.borderRadius/innerCornerRadius ignored, cornerRadius forced to 0 ||| animationType:'scale' r-grow enter and SSR scaleX/scaleY branch not ported; only 'expansion' enter supported ||| itemStyle.cursor (itemModel.getShallow('cursor')) never applied to the sector ||| select/blur state getSectorCornerRadius shape merges omitted; _updateLabel guards leader line on labelLine.show instead of labelPosition outer/outside	4a0c04e	addressed=5
partial	medium	major	80	2	core	Sources/EChartsKit/core/ECharts.swift	upstream/echarts/src/core/echarts.ts	2	12	`convertToPixel`/`convertFromPixel` (data<->pixel coordinate conversion public API) not ported ||| `resize(opts)` not ported — no runtime resize / media-query re-resolve (driver takes fixed width/height at init) ||| `getOption()` (return current merged option tree) not ported ||| `getVisual(finder, visualType)` not ported ||| `clear`/`dispose`/`isDisposed` instance lifecycle not ported (no _disposed flag) ||| `showLoading`/`hideLoading` loading spinner not ported ||| `appendData` streaming/incremental data API not ported ||| module-level `connect`/`disconnect` cross-chart event mirroring not wired (MessageCenter exists but connect() absent) ||| `refineEvent` path unported: refined 'selectchanged' event never emitted (only non-refined select/unselect/toggleselect) ||| legacy dataSelectAction events (pieselectchanged/mapselectchanged/selected) not re-emitted ||| Scheduler progressive/large-mode incremental rendering + updateStreamModes framing not reproduced (renderTask runs synchronously) ||| `makeActionFromEvent` not ported	3e0f7f8	addressed=1 | deferred=11
fixed	medium	major	80	3	visual	Sources/EChartsKit/visual/symbolVisual.swift	upstream/echarts/src/visual/symbol.ts	0	2	Function-valued symbol props (symbolSize/symbol/symbolRotate/symbolOffset callbacks) not evaluated per data item — the seriesSymbolTask dataEach callback branch is not ported ||| dataSymbolTask omits the ecModel.isSeriesFiltered(seriesModel) skip and the performRawSeries/createOnAllSeries scheduler flags (invoked inline from views instead)	ac930f7	addressed=2 | deferred=1
fixed	medium	major	82	3	chart	Sources/EChartsKit/chart/radar/RadarView.swift	upstream/echarts/src/chart/radar/RadarView.ts	0	5	Per-vertex value label block (upstream setLabelStyle loop lines 251-265) not ported — radar label.show shows no vertex values ||| Per-state polygon.ensureState(stateName).ignore + per-state polyline/polygon/symbol itemStyle loop (lines 209-222) not applied ||| Vertex symbols ignore symbolRotate (createSymbol applies rotation upstream) ||| Vertex symbols don't apply full itemStyle/setColor/strokeNoScale (only createSymbol fill param) ||| ZRImage image-symbol branch (lines 236-244) deferred	a76e1c9	addressed=4 | deferred=1
fixed	medium	major	82	2	chart	Sources/EChartsKit/chart/sunburst/SunburstSeries.swift	upstream/echarts/src/chart/sunburst/SunburstSeries.ts	1	2	beforeLink wrapMethod('getItemModel') injection never fires (SeriesData.wrapMethod can't rebind Model-returning methods) so per-node model.parentModel=levelModel is dropped -> levels[] itemStyle/label not inherited ||| getDataParams override deferred (wrapTreePathInfo stub) so params.treePathInfo is absent from tooltip/label formatters	52656ed	deferred=2
partial	medium	major	82	1	coord	Sources/EChartsKit/coord/axisModelCreator.swift	upstream/echarts/src/coord/axisModelCreator.ts	1	3	registerComponentModel is a PORT-STUB no-op — creator-generated per-type axis model classes are never registered (ECharts.swift hand-written stand-in models serve instead) ||| registerSubTypeDefaulter is a PORT-STUB no-op — component sub-type inference from option not consulted for non-axis components ||| mergeDefaultAndTheme drops fetchLayoutMode/getLayoutParams/mergeLayoutParam branch — axis box-layout params (single/parallel axis positioning) not merged	5e84e86	addressed=2 | deferred=1
partial	medium	major	85	1	chart	Sources/EChartsKit/chart/gauge/GaugeView.swift	upstream/echarts/src/chart/gauge/GaugeView.ts	0	5	roundCap:true uses Sector not Sausage, so axisLine and progress arcs render square caps instead of round ||| detail valueAnimation count-up not driven: setLabelValueAnimation/animateLabelValue call sites omitted, detail updates to final value without tween ||| formatLabel function-callback formatter is a no-op (only the string '{value}' replacement branch works) ||| pointer icon of image:// form: the `pointer instanceof ZRImage` useStyle branch is deferred ||| title/detail/label built with minimal gaugeTextStyle (font/fill/align only) not createTextStyle, dropping textBorder/shadow/rich styling	54fa56c	addressed=3 | deferred=2
skipped	medium	major	85	3	coord	Sources/EChartsKit/coord/cartesian/Grid.swift	upstream/echarts/src/coord/cartesian/Grid.ts	4	3	layOutGridByOuterBounds is fully stubbed (returns noPxChange=true, no shrink) so grid.outerBounds and containLabel-without-legacy-impl never shrink the grid rect for label/name overflow ||| resolveAxisNameOverlapForGrid deferred: cross-perpendicular-axis name-overlap nudging (moveIfOverlapByLinearLabels) not applied; uses default resolver ||| createOrUpdateAxesView skips calcNameMarginLevel/nameMarginLevelMap so axis-name margins are not scaled by relative grid size		deferred=3
fixed	medium	major	88	3	visual	Sources/EChartsKit/visual/visualSolution.swift	upstream/echarts/src/visual/visualSolution.ts	0	2	__alphaForOpacity stored under a literal dict key is NOT filtered by prepareVisualTypes (contrary to the code comment), so an opacity visualMap/brush applies an extra colorAlpha, wrongly modifying item color alpha ||| createMappings prototype-hidden-field trick is only partially emulated: the hidden slot is iterable, unlike upstream where hasOwnProperty iteration skips it	a04b794	deferred=2
skipped	medium	minor	75	3	chart	Sources/EChartsKit/chart/lines/linesInstall.swift	upstream/echarts/src/chart/lines/install.ts	0	1	registerVisual(linesVisual) not fulfilled — linesVisual is not ported/registered anywhere; per-line palette-stroke + endpoint symbol/arrow visual stage is absent (series falls back to shared style stage)		deferred=1
partial	medium	minor	80	2	chart	Sources/EChartsKit/chart/scatter/ScatterView.swift	upstream/echarts/src/chart/scatter/ScatterView.ts	0	6	createSymbolDrawOpt clipShape (createCoordSysClipAreaSimply) omitted, so the default clip:true does not clip out-of-bounds points ||| updateTransform not overridden: coord-system transform animation (geo/polar roam) won't re-layout points via updateLayout ||| incrementalPrepareRender/incrementalRender not ported: large/progressive data renders single-pass with no progressive pipeline ||| remove() not overridden: _symbolDraw.remove(true) leave cleanup skipped when the series is removed ||| stacked scatter dim substitution (isDimensionStacked/stackResultDimension from pointsLayout) not wired, so stacked scatter plots un-stacked positions ||| matrix coordinateSystem branch is an early-return no-op (upstream renders via generic pointsLayout)	ff3b87c	addressed=4 | deferred=2
fixed	medium	minor	82	3	component	Sources/EChartsKit/component/graphic/GraphicView.swift	upstream/echarts/src/component/graphic/GraphicView.ts	0	5	updateCommonAttrs drops upstream's on* event-handler assignment loop, so click/mouse handlers on graphic elements are never wired (no-op) ||| graphicUtil.setTooltipConfig deferred: tooltip option on graphic elements is not configured ||| isEC4CompatibleStyle/convertFromEC4CompatibleStyle deferred: EC4 legacy style/textConfig/textContent options are not converted ||| updateCommonAttrs omits the `draggable` assignment: graphic elements cannot be dragged ||| applyUpdateTransition/applyLeaveTransition/updateLeaveTo/updateProps replaced by direct el.attr: enter/update/leave transitions and x/y position tween do not animate (final state correct)	5880426	deferred=4
partial	medium	minor	82	1	coord	Sources/EChartsKit/coord/View.swift	upstream/echarts/src/coord/View.ts	0	5	calcCompensationScaleToPreserveNodeSize not ported — graph/tree/sankey nodeScaleRatio (keep node size constant on zoom) unavailable ||| Roaming-animation syncBackEl path deferred: applyViewCoordSysTransToElement / calcOverallTransFromSyncBackEl / updateProps animation not ported ||| invertBackToCenterOption percent-center round-trip omitted — sync-back always returns numeric center, so percent centerOption is lost on roam ||| Action-handler roam entry points deferred: ownRoamModelCoordSysUpdateInAction, getOwnRoamViewCoordSys, ownRoamViewUpdateDirectlyInAction, syncBackRoamOptionToRoamHostModel model write-back ||| CoordinateSystem/CoordinateSystemMaster protocol conformance dropped (documented; concrete View type used by Geo)	c27f3cf	addressed=1 | deferred=4
fixed	medium	minor	85	1	animation	Sources/EChartsKit/animation/basicTransition.swift	upstream/echarts/src/animation/basicTransition.ts	0	4	getAnimationConfig does not consume ecModel.getUpdatePayload().animation, so dataZoom/resize global duration/easing/delay override is ignored ||| function-valued animationDuration/animationDelay(dataIndex) dropped: transNum returns nil so per-index staggered enter delay/duration falls back to 0 ||| getAnimationDelayParams hook (pictorial-bar per-element delay) not wired into animateOrSetProps ||| user removeOpt override on the leave path not modeled (leave still hardcodes 200ms/cubicOut)	8a6dde9	addressed=3 | deferred=1
fixed	medium	minor	85	3	chart	Sources/EChartsKit/chart/chord/ChordPiece.swift	upstream/echarts/src/chart/chord/ChordPiece.ts	0	2	setLabelStyle labelStateModels not wired: per-state (emphasis/blur/select) label styles, defaultOpacity, and 'startArc' defaultOutsidePosition not applied ||| graphic.updateProps({shape}) tween on non-firstCreate deferred (shape applied directly); port substitutes its own first-create endAngle sweep	02f4191	addressed=2
fixed	medium	minor	85	2	chart	Sources/EChartsKit/chart/graph/GraphSeries.swift	upstream/echarts/src/chart/graph/GraphSeries.ts	1	3	beforeLink nodeData.wrapMethod('getItemModel') is a no-op stub, so per-category parentModel reparenting (category itemStyle/label styling) never applies ||| edgeData wrapMethod resolveParentPath 'label'->'edgeLabel' redirect is a no-op stub (GraphView reimplements it only for labels, not model reads) ||| mergeDefaultAndTheme skips defaultEmphasis(option,'edgeLabel',['show']) so edgeLabel emphasis show default not applied	55d2531	deferred=3
partial	medium	minor	85	2	component	Sources/EChartsKit/component/axis/AxisBuilder.swift	upstream/echarts/src/component/axis/AxisBuilder.ts	3	6	Cross-axis name-overlap resolution is a no-op: resetOverlapRecordToShared/moveIfOverlap/moveIfOverlapByLinearLabels and shared.resolveAxisNameOverlap all deferred, so axis name is placed at nameGap without nudging away from labels ||| buildAxisLabel per-category textStyle override (rawCategoryItem.textStyle -> new Model) not wired; labelModel used for all labels ||| Function-form axisLabel.color callback dropped (ColorString==String); isFunction(textColor) branch not representable ||| axisLine breakLine rendering deferred (getAxisBreakHelper nil); plain Line always drawn even when breakLine+hasBreaks ||| setTooltipConfig and triggerEvent eventData / addBreakEventHandler on axis name and labels deferred ||| nameMarginLevel margin-level defaults (DEFAULT_*_NAME_MARGIN_LEVELS) unused; name geometry margins not applied	1c9d2a2	addressed=3 | deferred=6
fixed	medium	minor	85	2	component	Sources/EChartsKit/component/axis/CartesianAxisView.swift	upstream/echarts/src/component/axis/CartesianAxisView.ts	0	4	splitArea builder is a no-op: rectCoordAxisBuildSplitArea not ported, so alternating splitArea background bands are never drawn ||| graphic.groupTransition between old/new axis group deferred; axis re-layout snaps without animation (final geometry correct) ||| remove() no-op: rectCoordAxisHandleRemove (clears cached splitArea colors) not ported ||| lineStylePropsFromDict does not bridge lineDash to LineDash enum; dashed split lines render solid	dfa8763	deferred=4
fixed	medium	minor	85	3	component	Sources/EChartsKit/component/dataZoom/SliderZoomView.swift	upstream/echarts/src/component/dataZoom/SliderZoomView.ts	0	4	_showDataInfo is a PortStub no-op: dragging a handle never reveals the emphasis handle-label and moveHandle never gets highlighted ||| _renderDataShadow draws one area+line but omits the selectedDataBackground overlay and the 3-segment clip-path split of _updateView ||| onmouseover/onmouseout (_onOverDataInfoTriggerArea) not wired on handles/moveZone, so _isOverDataInfoTriggerArea stays false and hover data-info never fires ||| data-shadow simplifies upstream: no candlestick getShadowDim, no time-axis thisCoord mapping, no empty-value gap insertion	a8623aa	addressed=4
partial	medium	minor	85	3	component	Sources/EChartsKit/component/marker/MarkAreaView.swift	upstream/echarts/src/component/marker/MarkAreaView.ts	3	5	Label block (setLabelStyle + getECData().dataModel) is a no-op; markArea labels never render — deferred pending MarkerModel DataFormatMixin/DataModel conformance ||| getSingleMarkerEndPoint drops the seriesModel.getMarkerPosition branch, so bar/candlestick markArea corners are not snapped to category ticks ||| 1D markArea items (single-object data) return nil in markAreaTransform and are silently dropped (upstream normalizes them earlier) ||| updateProps is a no-animation shim; markArea does not animate on data change ||| updateTransform (transform-only re-layout on zoom/pan) is defined but not wired into the render pipeline	d77737e	addressed=2 | deferred=3
partial	medium	minor	85	2	component	Sources/EChartsKit/component/toolbox/ToolboxView.swift	upstream/echarts/src/component/toolbox/ToolboxView.ts	0	5	Title-overflow reposition block (isVertical||group.eachChild emphasisState.textConfig) deferred; titles can render off-screen ||| graphic.setTooltipConfig on icons deferred (no icon tooltips) ||| payload.newTitle/featureName merge (FIX#11236 MagicType title update) not ported ||| DataDiffer add/update/remove reduced to rebuild-each-render; removed features' dispose not called on re-render ||| image:// icon branch of createIcon deferred (only path/svg icons)	b75f3a6	addressed=1 | deferred=4
partial	medium	minor	88	1	chart	Sources/EChartsKit/chart/sankey/SankeyView.swift	upstream/echarts/src/chart/sankey/SankeyView.ts	0	4	edge setStatesStylesFromModel omits the applyCurveStyle callback, so an emphasis-state lineStyle.color sentinel ('source'/'target'/'gradient') is not resolved to a real paint ||| node/edge decal (setStyle('decal', getVisual('style').decal) and applyCurveStyle decal branches) is not bridged ||| first-render grow-in clip animation (createGridClipShape width tween) replaced by a per-node opacity fade ||| label labelFetcher.getFormattedLabel is called with dataType=nil instead of 'node'/'edge', and edge label skips the retrieve3 formatter-inheritance guard	13ee2fb	addressed=3 | deferred=1
partial	medium	minor	88	1	model	Sources/EChartsKit/model/Series.swift	upstream/echarts/src/model/Series.ts	7	6	mergeDefaultAndTheme: fetchLayoutMode/getLayoutParams + final mergeLayoutParam (layout-mode box-position merge) deferred — box-layout series miss layout-param merging ||| mergeDefaultAndTheme: modelUtil.defaultEmphasis(option,'label',['show']) top-level label emphasis default not applied ||| fillDataTextStyle: per-item defaultEmphasis(data[i],'label',['show']) is a no-op loop — per-datum label emphasis default missing ||| getData(dataType): getLinkedData(dataType) branch not ported — base always returns main data (graph/tree edge routing relies on subclass overrides) ||| getAllData: getLinkedDataAll not ported — always returns [{data: mainData}] ||| getCurrentTask always returns nil (Scheduler routing deferred to C2) — getData/setData never read a live task context.data, always fall back to inner.data	e613741	addressed=2 | deferred=4
