category	severity	effort	verified	cluster	file	line	summary	evidence	upstreamModule
SEMANTIC_RISK	medium	small	Y		Sources/EChartsKit/data/OrdinalMeta.swift	129	Non-string, non-collect branch returns `(category as? Double) ?? NaN`; an OrdinalNumber index arriving boxed as Int fails the Double cast and silently becomes NaN (the known Int-vs-Double option-read trap).	Actual code L128: `return (category as? OrdinalNumber) ?? OrdinalNumber.nan`; OrdinalNumber = Double (types.swift:625), so this IS `(category as? Double) ?? NaN`. Sole live caller is DataStore.swift:328 `ordinalMeta.parseAndCollect(self._chunks[dimIdx][i])`; _chunks is [[ParsedValue]] and ParsedValue = Any (types.swift:640), populated from raw source parse (defaultDimValueGetters), so it CAN box an Int. Branch fires when !isString && !needCollect (axis with predefined categories, numeric index case). An Int-boxed index fails `as? Double` -> NaN -> datum silently dropped. Matches the documented Int-vs-Double trap. Reachability is narrow (predefined-category axis fed numeric indices) hence medium not high.	
SEMANTIC_RISK	medium	small	Y		Sources/EChartsKit/data/SeriesData.swift	478	getDimensionInfo force-unwraps _getDimInfo(...)!; a caller passing a dim absent from _dimInfos traps instead of getting undefined as upstream.	Confirmed force-unwrap `self._getDimInfo(...)!` at line 480. Upstream returns undefined; here a dim absent from _dimInfos traps (SIGTRAP). getDimensionInfo is widely called — latent crash if any caller passes an unknown dim. Matches the port's force-unwrap-SIGTRAP pattern.	
SEMANTIC_RISK	medium	small	Y		Sources/EChartsKit/data/Source.swift	427	keyedColumns dimension order is taken from an unordered Swift Dictionary instead of JS object insertion order, so detected dimension ordering can diverge from upstream.	Confirmed: keyedColumns dimensions collected via `for key in util.keys(dataDict)` over a Swift Dictionary (unordered), vs upstream `each(data)` in JS object insertion order. When keyedColumns data has no explicit `dimensions`/`encode`, the detected dimension order drives default dim->axis mapping, so ordering can diverge (and be nondeterministic across runs). Genuine divergence; mitigated in practice by name-based encode usage.	
SEMANTIC_RISK	medium	small	Y		Sources/EChartsKit/data/Tree.swift	500	buildHierarchy force-casts `children[i] as! TreeNodeOption` on dynamic user data — a non-dict child element traps at runtime instead of JS's lenient handling.	"TreeNodeOption = [String:Any] (Tree.swift:52). buildHierarchy iterates `children as? [Any]` then force-casts each element `as! TreeNodeOption`. A non-dict child element (e.g. user passes children:[1,""x""]) traps at runtime, whereas upstream JS degrades it to a nameless/valueless leaf. Live path: createTree feeds tree/treemap/sunburst initData. Real crash-vs-lenience divergence, but only on atypical malformed data."	
SEMANTIC_RISK	medium	small	Y		Sources/EChartsKit/model/mixin/dataFormat.swift	88	color read as `styleDict?[drawType] as? ZRColor`; if the visual stores a raw color String (as the comment warns) the cast fails and params.color is silently nil, so tooltip/label markers lose their color.	Confirmed. `styleDict?[drawType] as? ZRColor` succeeds only when fill is a ZRColor enum. The palette path stores fill as ZRColor (.color) via getColorFromPalette (palette.swift:67-69), so default-colored series work. BUT when the user sets itemStyle.color, makeStyleMapper (makeStyleMapper.swift:52-54) stores fill = model.getShallow('color') = raw String, so the cast fails and params.color is silently nil -> tooltip/label color marker loses color for explicitly-colored series; medium.	
SEMANTIC_RISK	medium	small	Y		Sources/EChartsKit/model/mixin/dataFormat.swift	211	"`val + ''` rendered via Swift interpolation `\(val!)`, so a numeric label value 3 prints ""3.0"" instead of JS ""3"" — visible label text divergence for whole-number dimension values."	"Confirmed. `return val != nil ? ""\(val!)"" : """"` uses Swift interpolation; numeric label values stored as Double render as '3.0' where JS `val + ''` yields '3'. This runs in the `{@dim}` template-formatter label path (retrieveRawValue returns the store's Double), so whole-number dimension values render with a spurious '.0'. User-visible label text divergence; medium."	
SEMANTIC_RISK	medium	small	Y		Sources/EChartsKit/util/clazz.swift	232	Upstream throws a catchable Error when a class is missing; Swift uses fatalError, converting a recoverable condition into a hard crash.	Confirmed 231-239: fatalError replaces upstream `throw new Error`. Reachable via Scale.getClass and ComponentModel.getClass(throwWhenNotFound=true) when a user specifies an unregistered component/scale subType. Upstream throw is typically uncaught too, but Swift fatalError is unconditionally fatal (no catch possible). Crash on misconfiguration.	
SEMANTIC_RISK	medium	small	Y		Sources/ZRenderKit/Graphic/Text.swift	454	When the 'style' prop key holds a value that is not a TextStyleProps, it is silently discarded and replaced with an empty style instead of preserving/coercing the caller's data.	In _init, key=='style' with a value not castable to TextStyleProps is dropped -> useStyle(TextStyleProps()) empty. Found a LIVE path: GraphicView constructs ZRText(textContentOption) where textContentOption is [String:Any] and its 'style' is a raw [String:Any] option dict (GraphicView.swift 165,231,235), so graphic-component text-content style (fill/font/text) is silently discarded. Typed callers (createTextStyle -> TextStyleProps, e.g. legend/visualMap/calendar/axisPointer label.style:TextStyleProps) hit the success branch and are fine. Same dict-drop also exists in Displayable.attrKV (453-457). Real feature-silently-ignored for graphic text with dict styles; niche component. Confirmed medium.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/chart/bar/BarSeries.swift	124	JS `!!this.get('realtimeSort')` modeled as `as? Bool ?? false`, so a non-Bool but truthy realtimeSort value silently reads as false (createInvertedIndices dropped).	Confirmed as a real but low-severity risk. `(get('realtimeSort') as? Bool) ?? false` reads a non-Bool-but-truthy value (e.g. a string) as false, dropping createInvertedIndices. realtimeSort defaults to Bool false and is documented Boolean, so this only bites invalid user input. Low.	
SEMANTIC_RISK	low	medium	Y		Sources/EChartsKit/chart/boxplot/BoxplotSeries.swift	256	"Value-semantics divergence: index-prepended data is written back to self.option[""data""] (upstream keeps a dual alias), so a later mergeOption that does not replace `data` would double-prepend the base-category index."	"Confirmed at 269-297: index-prepended data written back to self.option[""data""] then Source re-prepared. Gated on addOrdinal (no encode rule on the category dim). A later mergeOption that keeps 'data' would double-prepend the base index. Real divergence but edge-case (idempotency only breaks under partial re-merge); documented caveat."	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/chart/candlestick/CandlestickView.swift	175	Force-cast data.getItemLayout(newIdx) as! CandlestickItemLayout crashes if the layout is nil or a different type.	Force-cast data.getItemLayout(newIdx) as! CandlestickItemLayout (line 176), guarded by hasValue. In normal mode layout stage always writes CandlestickItemLayout (normalProgress), so realistic crash risk is low, but a nil/other layout would SIGTRAP. Latent force-unwrap per repo memory.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/chart/chord/ChordEdge.swift	198	edgeData.graph? and getEdgeByIndex are Optional but upstream assumes non-null; a nil graph/edge silently `return`s (no ribbon) instead of upstream's crash, masking a data-wiring bug.	Confirmed. `guard let edge = edgeData.graph?.getEdgeByIndex(edgeIdx) else { return }` swallows a nil graph/edge (upstream assumes non-null and would throw). Masks a data-wiring bug by silently drawing no ribbon. Only fires on genuine nil (error path that shouldn't occur in normal chord rendering); low.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/chart/chord/ChordPiece.swift	84	data.hostModel force-cast `as! ChordSeriesModel` will crash if hostModel is nil or a different model type.	Line 85 `data.hostModel as! ChordSeriesModel` force-casts Model?. Would crash if nil/other type, but hostModel is set to the ChordSeriesModel during initData for chord data, so it is guaranteed in normal flow. Latent only under misuse; mirrors upstream unchecked cast.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/chart/chord/ChordSeries.swift	141	getGraph() force-unwraps self.getData().graph!; a crash if graph is nil (e.g. before linkSeriesData).	Line 143 `self.getData().graph!` force-unwraps AnyObject?. Crashes if graph is nil before linkSeriesData, but createGraphFromNodeEdge guarantees it for chord in normal flow. Latent.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/chart/chord/chordLayout.swift	66	`nodeData.graph!` force-unwraps the Optional Graph; relies on createGraphFromNodeEdge always having populated it — a nil graph would SIGTRAP instead of a graceful skip.	Confirmed nodeData.graph! force-unwrap. ChordSeries.getInitialData (ChordSeries.swift:96) calls createGraphFromNodeEdge which sets data.graph via linkSeriesData.swift:252 and returns graph.data, so getData().graph is always populated for chord (same guarantee as sankey/graph). Never nil on the live path. Note: ChordEdge.swift:199 uses optional-chaining graph?.getEdgeByIndex on the same object, so the codebase is inconsistent, but the layout unwrap never triggers. Demoted to low: defensive-only, no live crash.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/chart/custom/CustomView.swift	740	renderItem `context` is a fresh [:] per datum instead of one shared object across the render round, so a user stashing cross-datum state in context loses it.	Confirmed: userParams.context is a fresh [:] per datum (743), value-type struct, so a user stashing cross-datum state in api's context loses it vs upstream's shared object. Real but niche renderItem usage. Low.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/chart/effectScatter/EffectScatterView.swift	80	data.mapDimension(...)! force-unwrapped; a latent crash if a base/value dimension is absent.	Lines 82-83,95-96 force-unwrap data.mapDimension(...)!. Latent crash if a base/value/radius/angle dim is absent; in practice always present for these series. Low.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/chart/gauge/GaugeView.swift	810	jsNumberToString is not a full ECMAScript Number->String (no exponent form); label text diverges from JS for very large/small values (>=1e15 uses Swift String(Double)).	Confirmed 811-817: values with |v|>=1e15 fall to Swift String(Double) which emits exponent form (e.g. 1e15 -> '1e+15') whereas JS String yields '1000000000000000'. Real divergence but only for gauge labels at extreme magnitudes; normal min/max ranges unaffected.	
SEMANTIC_RISK	low	na	Y		Sources/EChartsKit/chart/graph/GraphSeries.swift	244	getGraph() force-unwraps getData().graph! (latent SIGTRAP if a graph series' data has no graph); comment's premise that SeriesData.graph is AnyObject? is also stale (it is typed Graph?).	Comment premise is stale: SeriesData.graph is typed `Graph?` (SeriesData.swift:178), not AnyObject?. Force-unwrap graph! remains latent SIGTRAP but linkSeriesData guarantees non-nil for graph series → dead in practice.	
SEMANTIC_RISK	low	medium	Y		Sources/EChartsKit/chart/graph/circularLayoutHelper.swift	310	layoutFixed reads a dict key 'fixed', but force layout writes plain [x,y] arrays (fixed is a JS array-attached property upstream), so it always reads false and fixed nodes get repositioned by the symbolSize circular layout.	Confirmed: layoutFixed reads dict key 'fixed'; force layout writes plain [x,y] arrays (forceLayout.swift:192) and tracks fixed on the ForceNode struct read from the item model (line 124), not on the layout array — so layoutFixed always returns false. Only matters when circular is force-init with fixed nodes; forceLayout iteration is DEFERRED (GraphView) -> low.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/chart/heatmap/HeatmapView.swift	364	mapDimension('x'/'y'/'value') is force-unwrapped; a heatmap configured without one of these dims traps at runtime instead of degrading.	mapDimension('x'/'y'/'value') force-unwrapped at L365-367; a heatmap misconfigured without one of these dims traps instead of degrading. Edge case — a valid heatmap always has these dims.	
SEMANTIC_RISK	low	medium	Y		Sources/EChartsKit/chart/helper/createClipPathFromCoordSys.swift	254	Cartesian2D.getArea returns concrete Cartesian2DArea (not the protocol's CoordinateSystemClipArea?), so it fails to witness the protocol requirement and createCoordSysClipAreaSimply protocol-dispatches to the nil default — symbol clipping for scatter/line silently disabled on cartesian2d.	Witness gap is real: protocol CoordinateSystem.getArea returns CoordinateSystemClipArea? (default nil, CoordinateSystem.swift:319) while Cartesian2D.getArea returns concrete Cartesian2DArea (:276), so the protocol dispatch yields nil. BUT every caller of createCoordSysClipAreaSimply is commented-out/deferred (ScatterView.swift:186, EffectScatterView.swift:136) — dead path, no current behavioral impact. Latent trap; demoted to low.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/chart/line/LineView.swift	42	data.mapDimension(...) is force-unwrapped for base/value dims; a missing dimension would crash (latent SIGTRAP) rather than degrade.	Confirmed: data.mapDimension(baseAxis.dim)! and (valueAxis.dim)! force-unwrapped (lines 43-44). A nil dimension -> SIGTRAP crash rather than graceful degrade. Edge case (dims normally present for a line), so low severity, but a latent crash path.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/chart/lines/LinesSeries.swift	430	Where upstream returns undefined for a coords-only item value, the port returns NaN; downstream null/undefined checks see a number instead.	Confirmed at L432: upstream's implicit `return undefined` for a coords-only item value is modeled as Double.nan (ParsedValue non-optional). Downstream `value != null` checks would see NaN as a present number. For lines the value dimension is not the primary render driver (coords drive geometry), so impact is limited. Low.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/chart/map/MapSeries.swift	187	For an existing region data item, upstream merges GeoJSON properties.echartsStyle into the raw item object in place; the port reads a value copy and never writes it back, so echartsStyle is dropped for regions already in series data.	Confirmed: existing-region else branch just `_ = specifiedGeoJSONRegionStyle` (line 194) — getRawDataItem returns a value copy, no write-back, so echartsStyle merge is dropped for regions already in series data. Only when a GeoJSON region carries properties.echartsStyle AND the series data already has that region -> rare, low.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/chart/map/MapSeries.swift	379	"aspectScale's upstream null value is modeled as NSNull() to retain the key; callers doing get(""aspectScale"") receive NSNull rather than nil, a JS-null vs NSNull vs nil divergence to audit."	aspectScale defaults to NSNull() to retain the key. The real reader geoCreator.swift:295 uses asNumberOpt(model.get('aspectScale')) which returns nil for NSNull (falls through to nil), so GEO_DEFAULT_PARAMS default applies correctly. The NSNull-vs-nil divergence is handled at the one live read site -> effectively no behavioral difference, low.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/chart/radar/RadarSeries.swift	179	data.mapDimension(dim)! force-unwrapped; a nil dimension mapping would crash instead of degrading.	data.mapDimension(dim)! force-unwrap in getTooltipPosition. Radar indicator dims are generated in getInitialData so nil is not expected in practice; latent crash risk only. Low.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/chart/radar/radarLayout.swift	70	`data.mapDimension(axes[axisIndex].dim)!` is force-unwrapped on the assumption the indicator dim is always present; a missing/renamed indicator dim yields nil and crashes.	Confirmed force-unwrap of data.mapDimension(axes[axisIndex].dim). But indicator dims are internally generated as 'indicator_'+idx (coord/radar/Radar.swift:81), one per indicator, and radar data dimensions are built from the same indicator list at data-init — so mapDimension always resolves. Byte-faithful to upstream, which also does not guard. The nil trigger (missing/renamed indicator dim) cannot occur in normal rendering; JS would pass undefined instead of crashing, so a real but dormant Swift-vs-JS SIGTRAP edge. Demoted to low severity: defensive-only, never fires on a live path.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/chart/sankey/SankeySeries.swift	194	getGraph() force-unwraps getData().graph! which crashes if nil, whereas upstream returns possibly-undefined graph; also the stated type premise (AnyObject?) is stale — SeriesData.graph is now typed Graph?.	Confirmed both parts: SeriesData.graph is typed Graph? (SeriesData.swift:178) not AnyObject?, so the comment premise is stale; and getGraph() force-unwraps graph!. On the live sankey path createGraphFromNodeEdge always sets graph, so the crash is latent-only (getGraph on empty/uninitialized data).	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/chart/scatter/ScatterView.swift	83	data.mapDimension(baseAxis.dim)! and valueAxis force-unwraps will fatalError if a scatter series lacks the base/value dimension.	Confirmed: data.mapDimension(baseAxis.dim)! and mapDimension(valueAxis.dim)! are force-unwrapped (lines 85-86); nil would fatalError. In practice a cartesian scatter always has both dims (same invariant LineView relies on), so crash is only on malformed series. Low likelihood.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/chart/sunburst/SunburstPiece.swift	126	node.getModel() is Model? (nil for dataIndex<0 virtualRoot) where upstream assumes non-null; Swift guards and returns early (no sector), a null-vs-nil divergence that suppresses drawing for such nodes.	TreeNode.getModel() returns nil for dataIndex<0 (Tree.swift:271). updateData guards and returns early (no sector) where upstream (non-null model) would proceed. Affects only nodes with dataIndex<0 — chiefly the roll-up virtualRoot; its center sector may not draw when drilled in. Edge case.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/chart/sunburst/SunburstPiece.swift	265	_updateLabel's node.getModel() is Model? (nil for virtualRoot); Swift guards and returns (no label) where upstream assumes non-null — null-vs-nil divergence.	Same null-vs-nil divergence as L126 in _updateLabel: getModel() nil for dataIndex<0 → early return (no label). Only affects virtualRoot/removed nodes. Edge case.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/chart/tree/TreeSeries.swift	280	defaultOption 'center' uses NSNull() where upstream is null; NSNull retains the key in the [String: Any] bag (vs JS null which is present too, but downstream jsTruthy/nil checks must treat NSNull as absent) — key-retention divergence to audit.	defaultOption 'center':NSNull() vs upstream null. Grep found NO tree-side reader of 'center' (only View.swift roam input, which stays nil/deferred), so no live divergence today; risk is latent for when roam lands and a jsTruthy/nil check must treat NSNull as absent. Audit item, currently harmless.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/chart/treemap/treemapVisual.swift	108	node.getModel() is Optional and travelTree bails (returns) when nil, whereas upstream assumes non-null; a nil model early-returns and skips the whole subtree's visual encoding rather than processing it.	travelTree guard 'guard let nodeModel = node.getModel() else { return }' (L110) early-returns the WHOLE subtree when getModel() is nil (dataIndex<0), whereas upstream assumes non-null. Real divergence but treemap nodes are data-backed so getModel() is non-nil in practice; defensive edge case.	
SEMANTIC_RISK	low	medium	Y		Sources/EChartsKit/chart/treemap/treemapVisual.swift	190	seriesModel.designatedVisualItemStyle is a Swift value-type [String: Any]; upstream keeps it as a live-shared object read back through designatedVisualModel's parent chain, so the write→read parent-designated-visual priority may not resolve as upstream (value-copy vs reference).	Refuted as behaviorally inert. designatedVisualItemStyle is written then immediately nil'd (L198/L202); the read-back path (designatedVisualModel parent chain injected via SeriesData.wrapMethod) is a documented NO-OP (TreemapSeries.swift:165 'the injected closure is NOT actually invoked'). Parent-designated priority is instead threaded EXPLICITLY via the designatedVisual param (travelTree->mapVisual->childVisual), so the value-copy-vs-reference distinction never manifests.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/component/graphic/GraphicView.swift	524	Upstream only defaults z/z2/cursor when el[prop] is null; the port sets the default unconditionally when the option omits the prop, so a reused (merged) element's existing z/z2/cursor is silently reset to default.	Confirmed divergence: else-branch (line 527) sets z/z2/cursor default UNCONDITIONALLY when option omits the prop; upstream only defaults when el[prop]==null. On a merge re-render where a prior option set a custom z2/z/cursor and the new option omits it, the port resets to default while upstream keeps the existing value. Edge case (merge dropping a previously-set prop); fresh elements match either way.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/component/legend/LegendModel.swift	198	self.ecModel! force-unwrap in optionUpdated mirrors upstream non-null assumption; crashes if component not yet mounted.	self.ecModel! force-unwrap in optionUpdated (l.200). Mirrors upstream non-null assumption; optionUpdated runs after component mount so ecModel is set in normal flow. Real crash only on out-of-order/standalone invocation. Low.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/component/legend/LegendModel.swift	212	"legendData[i].get(""name"") as? String ?? """" silently coerces a numeric legend name to empty string, breaking single-select isSelected/select for number names."	legendData[i].get('name') as? String ?? '' (l.212) and the l.223 fallback coerce a numeric legend name to '' -> isSelected/select operate on the wrong key, breaking single-select init for numeric names. Real but edge: legend names are overwhelmingly strings (series names). Low.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/component/legend/LegendView.swift	266	Legend item `name` is String? so numeric names coerce to nil, routing them to the pie/funnel data branch and never matching a series by a numeric name; possible latent divergence from upstream's number|string names.	Confirmed: line 252 `get('name') as? String` yields nil for numeric names; nil name -> seriesModel nil -> pie/funnel else-branch (line 327). Upstream names are number|string. Real latent divergence, but legend names are almost always series-name strings; numeric data names in pie are an edge case. Low.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/component/marker/MarkAreaView.swift	163	JS isNaN/isFinite string coercion dropped: isInfinity only examines Double values, so a string coord that JS would coerce is treated as non-infinite (guarded to the numeric ±Infinity default path).	isInfinity only inspects Double; JS isNaN/isFinite string coercion dropped. But the only inputs reaching it are the ±Double.infinity defaults assigned in markAreaTransform (L125-129) or numeric coords; a string that JS would treat as infinite is not a realistic markArea coord. Correct on the numeric path.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/component/marker/MarkLineView.swift	491	Upstream's `|| {}` fallback dropped; getDimensionInfo returns a non-optional and can crash if the mapped dim info is genuinely absent (relies on md always resolving for markLine).	PLAUSIBLE but low. SeriesData.getDimensionInfo force-unwraps (SeriesData.swift:480 `!`). The md==nil case is guarded (else branch builds an empty SeriesDimensionDefine), so the only crash path is mapDimension returning a NON-nil dim name absent from _dimInfos — which doesn't happen in practice because mapDimension resolves through _dimInfos-derived summaries. Latent, unlikely to trigger.	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/component/marker/markerHelper.swift	125	JS Number.prototype.toFixed rounds half-away-from-zero, but the port approximates it via String(format:'%.*f') which rounds half-to-even, so marker statistic labels on exact .5 boundaries can round differently than ECharts.	"Confirmed toFixedNumber (lines 127-133) uses String(format:""%.*f"") which rounds half-to-even, vs JS toFixed half-away-from-zero. Real deviation but rare: requires the marker statistic coordinate to be an exact .5 at the precision boundary (FP rarely produces exact halves), and it affects the rounded position coordinate (coordArr), off by 1 ULP in the last decimal. Cosmetic/edge — low."	
SEMANTIC_RISK	low	small	Y		Sources/EChartsKit/component/tooltip/tooltipMarkup.swift	507	"Out-of-range gapLevel yields JS `undefined` upstream but Swift returns 0/""""; divergent margin/gap if ever reached (currently unreachable)."	getGap(gapLevel) is fed by getBlockGapLevel (line 281) whose value is bounded by fragment nesting depth; HTML_GAPS/RICH_TEXT_GAPS have 4 entries [0,10,20,30]/['','\n','\n\n','\n\n\n']. Real tooltip sections nest at most 2-3 levels, so gapLevel>=4 is not produced. Swift's guarded 0/'' diverges from JS undefined only in that unreachable case, and JS 'undefinedpx' margin degrades to ~0 in a browser anyway, so effect is benign. Genuine latent divergence but unreachable → low.	
